Data;Ora solare;Livello Punta Salute (cm);
1-gen-88;1.00;8;
1-gen-88;2.00;3;
1-gen-88;3.00;4;
1-gen-88;4.00;11;
1-gen-88;5.00;20;
1-gen-88;6.00;30;
1-gen-88;7.00;36;
1-gen-88;8.00;39;
1-gen-88;9.00;38;
1-gen-88;10.00;30;
1-gen-88;11.00;17;
1-gen-88;12.00;-1;
1-gen-88;13.00;-18;
1-gen-88;14.00;-37;
1-gen-88;15.00;-49;
1-gen-88;16.00;-53;
1-gen-88;17.00;-44;
1-gen-88;18.00;-26;
1-gen-88;19.00;-5;
1-gen-88;20.00;13;
1-gen-88;21.00;25;
1-gen-88;22.00;31;
1-gen-88;23.00;31;
2-gen-88;0.00;24;
2-gen-88;1.00;16;
2-gen-88;2.00;8;
2-gen-88;3.00;4;
2-gen-88;4.00;7;
2-gen-88;5.00;15;
2-gen-88;6.00;25;
2-gen-88;7.00;38;
2-gen-88;8.00;47;
2-gen-88;9.00;50;
2-gen-88;10.00;44;
2-gen-88;11.00;33;
2-gen-88;12.00;16;
2-gen-88;13.00;-4;
2-gen-88;14.00;-21;
2-gen-88;15.00;-40;
2-gen-88;16.00;-47;
2-gen-88;17.00;-43;
2-gen-88;18.00;-25;
2-gen-88;19.00;-7;
2-gen-88;20.00;12;
2-gen-88;21.00;30;
2-gen-88;22.00;39;
2-gen-88;23.00;43;
3-gen-88;0.00;40;
3-gen-88;1.00;32;
3-gen-88;2.00;22;
3-gen-88;3.00;15;
3-gen-88;4.00;12;
3-gen-88;5.00;20;
3-gen-88;6.00;33;
3-gen-88;7.00;45;
3-gen-88;8.00;55;
3-gen-88;9.00;63;
3-gen-88;10.00;63;
3-gen-88;11.00;52;
3-gen-88;12.00;38;
3-gen-88;13.00;20;
3-gen-88;14.00;-1;
3-gen-88;15.00;-16;
3-gen-88;16.00;-28;
3-gen-88;17.00;-33;
3-gen-88;18.00;-25;
3-gen-88;19.00;-8;
3-gen-88;20.00;14;
3-gen-88;21.00;31;
3-gen-88;22.00;43;
3-gen-88;23.00;53;
4-gen-88;0.00;54;
4-gen-88;1.00;44;
4-gen-88;2.00;33;
4-gen-88;3.00;23;
4-gen-88;4.00;16;
4-gen-88;5.00;15;
4-gen-88;6.00;20;
4-gen-88;7.00;31;
4-gen-88;8.00;43;
4-gen-88;9.00;52;
4-gen-88;10.00;55;
4-gen-88;11.00;51;
4-gen-88;12.00;38;
4-gen-88;13.00;20;
4-gen-88;14.00;-1;
4-gen-88;15.00;-21;
4-gen-88;16.00;-37;
4-gen-88;17.00;-45;
4-gen-88;18.00;-40;
4-gen-88;19.00;-21;
4-gen-88;20.00;1;
4-gen-88;21.00;23;
4-gen-88;22.00;43;
4-gen-88;23.00;55;
5-gen-88;0.00;59;
5-gen-88;1.00;54;
5-gen-88;2.00;43;
5-gen-88;3.00;31;
5-gen-88;4.00;20;
5-gen-88;5.00;15;
5-gen-88;6.00;15;
5-gen-88;7.00;23;
5-gen-88;8.00;32;
5-gen-88;9.00;43;
5-gen-88;10.00;48;
5-gen-88;11.00;48;
5-gen-88;12.00;39;
5-gen-88;13.00;24;
5-gen-88;14.00;4;
5-gen-88;15.00;-13;
5-gen-88;16.00;-32;
5-gen-88;17.00;-41;
5-gen-88;18.00;-40;
5-gen-88;19.00;-26;
5-gen-88;20.00;-8;
5-gen-88;21.00;14;
5-gen-88;22.00;31;
5-gen-88;23.00;47;
6-gen-88;0.00;55;
6-gen-88;1.00;55;
6-gen-88;2.00;46;
6-gen-88;3.00;33;
6-gen-88;4.00;20;
6-gen-88;5.00;11;
6-gen-88;6.00;8;
6-gen-88;7.00;11;
6-gen-88;8.00;22;
6-gen-88;9.00;34;
6-gen-88;10.00;47;
6-gen-88;11.00;52;
