Data;Ora solare;Livello Punta Salute (cm);;
1-gen-97;1.00;52;;
1-gen-97;2.00;63;;
1-gen-97;3.00;78;;
1-gen-97;4.00;82;;
1-gen-97;5.00;85;;
1-gen-97;6.00;87;;
1-gen-97;7.00;84;;
1-gen-97;8.00;80;;
1-gen-97;9.00;80;;
1-gen-97;10.00;81;;
1-gen-97;11.00;81;;
1-gen-97;12.00;72;;
1-gen-97;13.00;71;;
1-gen-97;14.00;72;;
1-gen-97;15.00;63;;
1-gen-97;16.00;51;;
1-gen-97;17.00;39;;
1-gen-97;18.00;31;;
1-gen-97;19.00;20;;
1-gen-97;20.00;11;;
1-gen-97;21.00;6;;
1-gen-97;22.00;6;;
1-gen-97;23.00;9;;
2-gen-97;0.00;20;;
2-gen-97;1.00;35;;
2-gen-97;2.00;49;;
2-gen-97;3.00;62;;
2-gen-97;4.00;72;;
2-gen-97;5.00;80;;
2-gen-97;6.00;82;;
2-gen-97;7.00;75;;
2-gen-97;8.00;67;;
2-gen-97;9.00;59;;
2-gen-97;10.00;49;;
2-gen-97;11.00;40;;
2-gen-97;12.00;36;;
2-gen-97;13.00;36;;
2-gen-97;14.00;31;;
2-gen-97;15.00;28;;
2-gen-97;16.00;30;;
2-gen-97;17.00;30;;
2-gen-97;18.00;23;;
2-gen-97;19.00;20;;
2-gen-97;20.00;19;;
2-gen-97;21.00;16;;
2-gen-97;22.00;16;;
2-gen-97;23.00;23;;
3-gen-97;0.00;36;;
3-gen-97;1.00;52;;
3-gen-97;2.00;67;;
3-gen-97;3.00;83;;
3-gen-97;4.00;94;;
3-gen-97;5.00;100;;
3-gen-97;6.00;104;;
3-gen-97;7.00;99;;
3-gen-97;8.00;83;;
3-gen-97;9.00;68;;
3-gen-97;10.00;54;;
3-gen-97;11.00;39;;
3-gen-97;12.00;29;;
3-gen-97;13.00;23;;
3-gen-97;14.00;17;;
3-gen-97;15.00;19;;
3-gen-97;16.00;20;;
3-gen-97;17.00;23;;
3-gen-97;18.00;31;;
3-gen-97;19.00;35;;
3-gen-97;20.00;36;;
3-gen-97;21.00;38;;
3-gen-97;22.00;41;;
3-gen-97;23.00;47;;
4-gen-97;0.00;56;;
4-gen-97;1.00;67;;
4-gen-97;2.00;79;;
4-gen-97;3.00;94;;
4-gen-97;4.00;105;;
