Data;Ora solare;Livello Punta Salute (cm)
1-gen-98;1.00;63
1-gen-98;2.00;59
1-gen-98;3.00;46
1-gen-98;4.00;29
1-gen-98;5.00;16
1-gen-98;6.00;8
1-gen-98;7.00;9
1-gen-98;8.00;20
1-gen-98;9.00;39
1-gen-98;10.00;54
1-gen-98;11.00;63
1-gen-98;12.00;62
1-gen-98;13.00;52
1-gen-98;14.00;33
1-gen-98;15.00;11
1-gen-98;16.00;-8
1-gen-98;17.00;-26
1-gen-98;18.00;-37
1-gen-98;19.00;-36
1-gen-98;20.00;-24
1-gen-98;21.00;-3
1-gen-98;22.00;19
1-gen-98;23.00;36
2-gen-98;0.00;51
2-gen-98;1.00;59
2-gen-98;2.00;59
2-gen-98;3.00;52
2-gen-98;4.00;38
2-gen-98;5.00;24
2-gen-98;6.00;14
2-gen-98;7.00;9
2-gen-98;8.00;14
2-gen-98;9.00;25
2-gen-98;10.00;41
2-gen-98;11.00;54
2-gen-98;12.00;62
2-gen-98;13.00;62
2-gen-98;14.00;51
2-gen-98;15.00;33
2-gen-98;16.00;16
2-gen-98;17.00;-1
2-gen-98;18.00;-13
2-gen-98;19.00;-19
2-gen-98;20.00;-13
2-gen-98;21.00;1
2-gen-98;22.00;19
2-gen-98;23.00;36
3-gen-98;0.00;52
3-gen-98;1.00;62
3-gen-98;2.00;64
3-gen-98;3.00;63
3-gen-98;4.00;56
3-gen-98;5.00;43
3-gen-98;6.00;31
3-gen-98;7.00;23
3-gen-98;8.00;19
3-gen-98;9.00;19
3-gen-98;10.00;27
3-gen-98;11.00;38
3-gen-98;12.00;47
3-gen-98;13.00;48
3-gen-98;14.00;41
3-gen-98;15.00;30
3-gen-98;16.00;16
3-gen-98;17.00;1
3-gen-98;18.00;-13
3-gen-98;19.00;-21
3-gen-98;20.00;-21
3-gen-98;21.00;-12
3-gen-98;22.00;4
3-gen-98;23.00;20
4-gen-98;0.00;36
4-gen-98;1.00;50
4-gen-98;2.00;60
4-gen-98;3.00;68
4-gen-98;4.00;72
4-gen-98;5.00;65
4-gen-98;6.00;55
4-gen-98;7.00;43
4-gen-98;8.00;31
4-gen-98;9.00;20
4-gen-98;10.00;19
4-gen-98;11.00;23
4-gen-98;12.00;30
4-gen-98;13.00;36
4-gen-98;14.00;39
4-gen-98;15.00;30
4-gen-98;16.00;19
4-gen-98;17.00;6
4-gen-98;18.00;-7
4-gen-98;19.00;-16
4-gen-98;20.00;-18
4-gen-98;21.00;-14
4-gen-98;22.00;-3
4-gen-98;23.00;11
5-gen-98;0.00;28
5-gen-98;1.00;47
5-gen-98;2.00;63
5-gen-98;3.00;75
5-gen-98;4.00;82
5-gen-98;5.00;81
5-gen-98;6.00;71
5-gen-98;7.00;55
5-gen-98;8.00;39
5-gen-98;9.00;30
5-gen-98;10.00;22
5-gen-98;11.00;17
5-gen-98;12.00;19
5-gen-98;13.00;21
5-gen-98;14.00;23
5-gen-98;15.00;20
5-gen-98;16.00;16
5-gen-98;17.00;10
5-gen-98;18.00;4
5-gen-98;19.00;-1
5-gen-98;20.00;-4
5-gen-98;21.00;-1
5-gen-98;22.00;5
5-gen-98;23.00;15
6-gen-98;0.00;30
6-gen-98;1.00;43
6-gen-98;2.00;56
6-gen-98;3.00;68
6-gen-98;4.00;75
6-gen-98;5.00;78
6-gen-98;6.00;73
6-gen-98;7.00;63
6-gen-98;8.00;49
6-gen-98;9.00;35
6-gen-98;10.00;22
6-gen-98;11.00;10
6-gen-98;12.00;1
6-gen-98;13.00;-1
6-gen-98;14.00;-1
6-gen-98;15.00;6
6-gen-98;16.00;11
6-gen-98;17.00;15
6-gen-98;18.00;18
6-gen-98;19.00;16
6-gen-98;20.00;14
6-gen-98;21.00;11
6-gen-98;22.00;11
6-gen-98;23.00;14
7-gen-98;0.00;20
7-gen-98;1.00;30
7-gen-98;2.00;40
7-gen-98;3.00;50
7-gen-98;4.00;58
7-gen-98;5.00;62
7-gen-98;6.00;62
7-gen-98;7.00;57
7-gen-98;8.00;47
7-gen-98;9.00;31
7-gen-98;10.00;16
7-gen-98;11.00;-1
7-gen-98;12.00;-12
7-gen-98;13.00;-20
7-gen-98;14.00;-21
7-gen-98;15.00;-15
7-gen-98;16.00;-4
7-gen-98;17.00;8
7-gen-98;18.00;20
7-gen-98;19.00;30
7-gen-98;20.00;33
7-gen-98;21.00;31
7-gen-98;22.00;25
7-gen-98;23.00;19
8-gen-98;0.00;14
8-gen-98;1.00;15
8-gen-98;2.00;20
8-gen-98;3.00;28
8-gen-98;4.00;39
8-gen-98;5.00;48
8-gen-98;6.00;52
8-gen-98;7.00;51
8-gen-98;8.00;44
8-gen-98;9.00;33
8-gen-98;10.00;20
8-gen-98;11.00;4
8-gen-98;12.00;-10
8-gen-98;13.00;-23
8-gen-98;14.00;-29
8-gen-98;15.00;-29
8-gen-98;16.00;-20
8-gen-98;17.00;-4
8-gen-98;18.00;11
8-gen-98;19.00;23
8-gen-98;20.00;32
8-gen-98;21.00;36
8-gen-98;22.00;31
8-gen-98;23.00;23
9-gen-98;0.00;14
9-gen-98;1.00;6
9-gen-98;2.00;3
9-gen-98;3.00;7
9-gen-98;4.00;15
9-gen-98;5.00;25
9-gen-98;6.00;35
9-gen-98;7.00;41
9-gen-98;8.00;43
9-gen-98;9.00;38
9-gen-98;10.00;27
9-gen-98;11.00;11
9-gen-98;12.00;-7
9-gen-98;13.00;-24
