Data;Ora solare;Livello Punta Salute (cm);;;
1-gen-99;1.00;26;;;
1-gen-99;2.00;14;;;
1-gen-99;3.00;8;;;
1-gen-99;4.00;7;;;
1-gen-99;5.00;16;;;
1-gen-99;6.00;31;;;
1-gen-99;7.00;48;;;
1-gen-99;8.00;62;;;
1-gen-99;9.00;71;;;
1-gen-99;10.00;72;;;
1-gen-99;11.00;63;;;
1-gen-99;12.00;46;;;
1-gen-99;13.00;22;;;
1-gen-99;14.00;-1;;;
1-gen-99;15.00;-23;;;
1-gen-99;16.00;-36;;;
1-gen-99;17.00;-40;;;
1-gen-99;18.00;-30;;;
1-gen-99;19.00;-12;;;
1-gen-99;20.00;11;;;
1-gen-99;21.00;31;;;
1-gen-99;22.00;46;;;
1-gen-99;23.00;55;;;
1-gen-99;0.00;57;;;
2-gen-99;1.00;49;;;
2-gen-99;2.00;35;;;
2-gen-99;3.00;23;;;
2-gen-99;4.00;16;;;
2-gen-99;5.00;19;;;
2-gen-99;6.00;31;;;
2-gen-99;7.00;48;;;
2-gen-99;8.00;63;;;
2-gen-99;9.00;75;;;
2-gen-99;10.00;81;;;
2-gen-99;11.00;81;;;
2-gen-99;12.00;71;;;
2-gen-99;13.00;52;;;
2-gen-99;14.00;30;;;
2-gen-99;15.00;7;;;
2-gen-99;16.00;-15;;;
2-gen-99;17.00;-29;;;
2-gen-99;18.00;-33;;;
2-gen-99;19.00;-21;;;
2-gen-99;20.00;0;;;
2-gen-99;21.00;25;;;
2-gen-99;22.00;43;;;
2-gen-99;23.00;55;;;
2-gen-99;0.00;61;;;
3-gen-99;1.00;57;;;
3-gen-99;2.00;43;;;
3-gen-99;3.00;27;;;
3-gen-99;4.00;17;;;
3-gen-99;5.00;11;;;
3-gen-99;6.00;15;;;
3-gen-99;7.00;30;;;
3-gen-99;8.00;48;;;
3-gen-99;9.00;64;;;
3-gen-99;10.00;78;;;
3-gen-99;11.00;84;;;
3-gen-99;12.00;79;;;
3-gen-99;13.00;60;;;
3-gen-99;14.00;36;;;
3-gen-99;15.00;11;;;
3-gen-99;16.00;-12;;;
3-gen-99;17.00;-31;;;
3-gen-99;18.00;-40;;;
3-gen-99;19.00;-37;;;
3-gen-99;20.00;-21;;;
3-gen-99;21.00;2;;;
3-gen-99;22.00;20;;;
3-gen-99;23.00;38;;;
3-gen-99;0.00;50;;;
4-gen-99;1.00;52;;;
4-gen-99;2.00;46;;;
4-gen-99;3.00;33;;;
4-gen-99;4.00;23;;;
4-gen-99;5.00;19;;;
4-gen-99;6.00;19;;;
4-gen-99;7.00;27;;;
4-gen-99;8.00;43;;;
4-gen-99;9.00;57;;;
4-gen-99;10.00;67;;;
4-gen-99;11.00;68;;;
4-gen-99;12.00;64;;;
4-gen-99;13.00;49;;;
4-gen-99;14.00;28;;;
4-gen-99;15.00;7;;;
4-gen-99;16.00;-16;;;
4-gen-99;17.00;-36;;;
4-gen-99;18.00;-49;;;
4-gen-99;19.00;-52;;;
4-gen-99;20.00;-37;;;
4-gen-99;21.00;-16;;;
4-gen-99;22.00;8;;;
4-gen-99;23.00;30;;;
4-gen-99;0.00;45;;;
5-gen-99;1.00;54;;;
5-gen-99;2.00;55;;;
5-gen-99;3.00;46;;;
5-gen-99;4.00;35;;;
5-gen-99;5.00;23;;;
5-gen-99;6.00;16;;;
5-gen-99;7.00;16;;;
5-gen-99;8.00;23;;;
5-gen-99;9.00;31;;;
5-gen-99;10.00;40;;;
5-gen-99;11.00;47;;;
5-gen-99;12.00;47;;;
5-gen-99;13.00;39;;;
5-gen-99;14.00;24;;;
5-gen-99;15.00;7;;;
5-gen-99;16.00;-13;;;
5-gen-99;17.00;-30;;;
5-gen-99;18.00;-42;;;
5-gen-99;19.00;-45;;;
5-gen-99;20.00;-36;;;
5-gen-99;21.00;-17;;;
5-gen-99;22.00;6;;;
5-gen-99;23.00;23;;;
5-gen-99;0.00;40;;;
6-gen-99;1.00;52;;;
6-gen-99;2.00;56;;;
6-gen-99;3.00;52;;;
6-gen-99;4.00;39;;;
6-gen-99;5.00;24;;;
6-gen-99;6.00;11;;;
6-gen-99;7.00;4;;;
6-gen-99;8.00;3;;;
6-gen-99;9.00;11;;;
6-gen-99;10.00;23;;;
6-gen-99;11.00;34;;;
6-gen-99;12.00;39;;;
6-gen-99;13.00;36;;;
6-gen-99;14.00;24;;;
6-gen-99;15.00;9;;;
6-gen-99;16.00;-7;;;
6-gen-99;17.00;-21;;;
6-gen-99;18.00;-28;;;
6-gen-99;19.00;-31;;;
6-gen-99;20.00;-25;;;
6-gen-99;21.00;-10;;;
6-gen-99;22.00;8;;;
6-gen-99;23.00;23;;;
6-gen-99;0.00;39;;;
7-gen-99;1.00;52;;;
7-gen-99;2.00;57;;;
7-gen-99;3.00;56;;;
7-gen-99;4.00;48;;;
7-gen-99;5.00;36;;;
7-gen-99;6.00;24;;;
7-gen-99;7.00;16;;;
7-gen-99;8.00;13;;;
7-gen-99;9.00;14;;;
7-gen-99;10.00;20;;;
7-gen-99;11.00;28;;;
7-gen-99;12.00;35;;;
7-gen-99;13.00;36;;;
7-gen-99;14.00;32;;;
7-gen-99;15.00;24;;;
7-gen-99;16.00;14;;;
7-gen-99;17.00;3;;;
7-gen-99;18.00;-5;;;
7-gen-99;19.00;-10;;;
7-gen-99;20.00;-10;;;
7-gen-99;21.00;-4;;;
7-gen-99;22.00;9;;;
